ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
9964140,9.243,3550,0.475,31,1134.970,240.286,1496.338,516.356
9965534,8.085,5182,12.591,31,433.525,158.616,454.534,167.806
9967272,8.078,6781,2.035,31,393.649,86.811,403.388,96.580
10066435,8.121,6552,1.530,33,414.728,146.079,450.693,158.827
10785357,8.168,6621,2.436,30,488.181,119.516,542.851,126.226
10821149,8.059,3724,56.450,30,601.418,271.026,549.797,265.455
10838265,5.998,7558,1.964,30,3208.681,1214.534,3206.640,1230.917
10838592,8.028,4229,31.075,30,650.449,225.664,510.332,170.713
10863087,10.391,3296,0.405,30,13804.039,12158.201,13830.155,12154.406
10863225,10.264,3426,0.302,30,1255.105,240.891,1539.439,282.804
10932094,8.580,4814,10.020,31,716.189,428.089,712.654,415.626
10936296,8.000,7986,3.009,31,1114.336,1006.761,1133.756,1013.682
10938216,15.358,0,0.000,31,29833.974,5279.194,28987.106,6203.079
10958867,10.575,7496,1.979,31,2841.219,1133.248,2878.622,1167.871
10996609,8.901,4951,10.271,31,643.785,227.584,706.357,234.155
11046349,9.422,5410,1.119,31,1378.395,1227.808,1486.006,1225.195
11049041,8.373,4987,10.148,32,506.807,231.101,593.658,230.412
11053001,8.055,8279,1.580,32,884.302,129.048,902.777,114.518
11201507,8.017,6219,8.283,32,452.541,211.281,475.316,217.515
11289814,8.076,6608,2.079,32,417.258,121.813,446.642,127.720
11310083,4.413,6128,1.248,35,135.750,76.893,151.570,107.943
11488935,8.204,4544,20.503,30,501.044,257.500,491.069,275.956
11521555,9.098,6294,3.096,35,726.902,346.079,839.894,357.653
11521786,8.005,4634,18.380,35,503.466,317.768,521.043,293.346
11528274,8.753,4405,22.967,30,1221.173,1037.740,1209.161,1002.421
11529003,8.352,3772,59.824,30,532.041,243.100,469.466,153.157
11555687,9.799,5553,3.553,30,881.582,160.360,879.748,158.687
11569869,8.156,7143,2.797,30,445.902,137.790,441.428,145.394
11614297,10.658,3383,0.332,30,1558.491,436.663,1523.176,472.518
