#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,TESS,SPOC,Photometer,TESS,TESS,Optical,446216446,,tess2021065132309-s0036-0000000446216446-0207-a_fast,147.714770968554,-51.5030402394928,3,59280.4050974653,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,444094235,,tess2021065132309-s0036-0000000444094235-0207-a_fast,147.251474522105,-55.0288652238891,3,59280.4048019097,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,443616789,,tess2021065132309-s0036-0000000443616789-0207-a_fast,169.150217999011,-4.65654043081686,3,59280.4078328356,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,443616612,,tess2021065132309-s0036-0000000443616612-0207-a_fast,169.117153587917,-3.97543238422605,3,59280.4078444097,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,443610240,,tess2021065132309-s0036-0000000443610240-0207-a_fast,168.605521901742,-2.42802562401377,3,59280.4078686343,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,443582139,,tess2021065132309-s0036-0000000443582139-0207-a_fast,167.786459310058,-5.32164979020883,3,59280.4078228125,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,443581527,,tess2021065132309-s0036-0000000443581527-0207-a_fast,167.649319348574,-3.875471802449,3,59280.4078479514,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441644205,,tess2021065132309-s0036-0000000441644205-0207-a_fast,145.296282216677,-59.4100274579728,3,59280.4043968171,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,441226365,,tess2021065132309-s0036-0000000441226365-0207-a_fast,145.196543405885,-57.1211941656997,3,59280.4045867477,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,439927344,,tess2021065132309-s0036-0000000439927344-0207-a_fast,143.908632774421,-58.9335034955332,3,59280.4044089236,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,438376282,,tess2021065132309-s0036-0000000438376282-0207-a_fast,142.366998399769,-54.898595665656,3,59280.4047033102,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,438174130,,tess2021065132309-s0036-0000000438174130-0207-a_fast,142.001444933163,-58.5095210912903,3,59280.404402581,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,437248515,,tess2021065132309-s0036-0000000437248515-0207-a_fast,169.438991028327,-19.054782368966,3,59280.4074038542,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,437242640,,tess2021065132309-s0036-0000000437242640-0207-a_fast,165.399574541528,-23.8606624132597,3,59280.4071842824,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,437164426,,tess2021065132309-s0036-0000000437164426-0207-a_fast,140.99026858584,-54.1507163749142,3,59280.4047274653,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,434485151,,tess2021065132309-s0036-0000000434485151-0207-a_fast,156.574089891259,-20.9960247633478,3,59280.407223044,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,432744391,,tess2021065132309-s0036-0000000432744391-0207-a_fast,146.737952089129,-50.2044676873386,3,59280.4051785301,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,431589361,,tess2021065132309-s0036-0000000431589361-0207-a_fast,50.756648862907,-74.3164284831941,3,59280.4009384028,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,431380369,,tess2021065132309-s0036-0000000431380369-0207-a_fast,49.0335381859438,-73.5489688063314,3,59280.4008635417,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,429356287,,tess2021065132309-s0036-0000000429356287-0207-a_fast,183.821056639517,-19.3882717948448,3,59280.4071779398,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,429153021,,tess2021065132309-s0036-0000000429153021-0207-a_fast,173.174517266209,-27.9184556427759,3,59280.4069528241,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,429151246,,tess2021065132309-s0036-0000000429151246-0207-a_fast,173.041052004078,-24.8042081219059,3,59280.4071182292,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,428683815,,tess2021065132309-s0036-0000000428683815-0207-a_fast,180.02349385515,-19.0343874237335,3,59280.4072812153,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,428670887,,tess2021065132309-s0036-0000000428670887-0207-a_fast,179.669355734562,-20.4975648532275,3,59280.4072266435,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,428655767,,tess2021065132309-s0036-0000000428655767-0207-a_fast,179.45060157371,-19.6687178472972,3,59280.4072661343,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,428655284,,tess2021065132309-s0036-0000000428655284-0207-a_fast,179.463175380932,-18.1021224829022,3,59280.4073297917,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,425083410,,tess2021065132309-s0036-0000000425083410-0207-a_fast,82.9342013094825,-67.6337162541166,3,59280.4018638657,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,425064757,,tess2021065132309-s0036-0000000425064757-0207-a_fast,82.9181660604214,-69.883932947867,3,59280.4018362269,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,423525873,,tess2021065132309-s0036-0000000423525873-0207-a_fast,169.37067520641,-20.7664657409898,3,59280.4073305093,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,423443090,,tess2021065132309-s0036-0000000423443090-0207-a_fast,157.765767426442,-22.5716981733447,3,59280.4071718171,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,423392930,,tess2021065132309-s0036-0000000423392930-0207-a_fast,157.194350197292,-21.6851936851789,3,59280.4072031019,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,422407583,,tess2021065132309-s0036-0000000422407583-0207-a_fast,182.820606013432,-19.9726985645646,3,59280.4071793171,20,59327,
