ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
349480752,8.069,9815,5.130,33,415.379,85.323,347.944,73.153
349480752,8.069,9815,5.130,34,402.025,92.001,344.563,64.127
349480752,8.069,9815,5.130,35,408.540,118.218,443.928,285.616
349483265,11.378,4938,20.253,27,2211.424,446.358,2166.228,444.655
349483265,11.378,4938,20.253,28,2162.409,448.689,2076.721,453.862
349483265,11.378,4938,20.253,29,2186.121,434.757,2143.245,443.738
349483265,11.378,4938,20.253,30,2089.830,443.163,2010.460,418.532
349483265,11.378,4938,20.253,31,2135.508,454.269,2082.919,472.449
349483265,11.378,4938,20.253,33,1965.412,432.879,1976.325,451.528
349483265,11.378,4938,20.253,34,1994.603,448.879,2032.749,457.737
349483265,11.378,4938,20.253,35,1981.343,435.507,1989.441,437.823
349483265,11.378,4938,20.253,36,1983.287,456.527,1830.804,409.753
349574361,9.532,4117,50.009,27,852.404,236.069,816.009,331.216
349574361,9.532,4117,50.009,28,825.838,224.607,813.092,366.051
349574361,9.532,4117,50.009,29,969.208,506.074,853.869,281.524
349574361,9.532,4117,50.009,30,853.175,278.956,770.984,155.732
349574361,9.532,4117,50.009,31,833.853,287.379,736.002,190.574
349574361,9.532,4117,50.009,32,858.822,310.563,764.836,191.371
349574361,9.532,4117,50.009,33,850.012,356.433,800.318,222.791
349574361,9.532,4117,50.009,34,899.149,431.224,826.452,165.773
349574361,9.532,4117,50.009,35,836.138,262.696,754.496,178.522
349574361,9.532,4117,50.009,36,819.146,224.334,740.501,158.657
349576261,11.533,5966,1.252,29,2543.233,666.149,2566.013,728.930
349576261,11.533,5966,1.252,30,2638.806,1226.262,2465.423,965.806
349576261,11.533,5966,1.252,31,2438.832,780.274,2382.282,783.754
349576261,11.533,5966,1.252,32,2387.187,624.783,2256.854,523.411
349576261,11.533,5966,1.252,33,2339.859,597.564,2285.206,593.264
349576261,11.533,5966,1.252,34,2341.701,907.069,2226.009,683.866
349576261,11.533,5966,1.252,35,2293.111,532.245,2321.806,729.624
349576261,11.533,5966,1.252,36,2345.547,549.199,2289.905,488.549
349784936,8.083,7125,2.679,27,4498.112,2637.760,4485.096,2642.639
349784936,8.083,7125,2.679,28,4322.536,2501.992,4338.498,2513.711
349784936,8.083,7125,2.679,29,4417.452,2557.291,4440.520,2578.383
349784936,8.083,7125,2.679,30,4476.633,2595.922,4497.762,2644.924
349784936,8.083,7125,2.679,31,4384.684,2466.526,4372.723,2469.416
349784936,8.083,7125,2.679,32,4366.407,2428.259,4334.970,2429.926
349784936,8.083,7125,2.679,33,4501.053,2665.177,4497.060,2663.248
349784936,8.083,7125,2.679,34,4392.068,2567.640,4393.651,2599.861
349784936,8.083,7125,2.679,36,4431.561,2512.758,4407.337,2536.526
349829477,8.312,10316,2.270,27,430.072,77.972,395.699,91.042
349829477,8.312,10316,2.270,28,424.737,77.318,409.238,75.945
349829477,8.312,10316,2.270,29,434.029,78.922,392.156,75.188
349829477,8.312,10316,2.270,30,429.910,80.697,383.716,72.404
