ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
24452802,10.912,3164,0.453,32,5136.733,5027.459,5027.459,5013.455
24452802,10.912,3164,0.453,33,4430.311,4376.691,4376.691,4376.691
24518895,11.895,3425,0.560,32,13843.800,13856.739,13856.739,13783.510
24523185,8.059,4205,27.675,32,898.814,832.227,832.227,826.660
24523185,8.059,4205,27.675,33,926.900,852.620,852.620,846.438
24528012,8.142,7950,3.415,32,2925.133,2879.590,2879.590,2877.773
24606215,8.104,3754,77.136,32,1060.519,937.508,937.508,921.538
24705240,8.008,5030,3.565,28,902.190,814.646,814.646,810.915
24705587,13.365,0,0.000,29,15961.034,15875.013,15875.013,15875.013
24706089,8.002,4797,10.555,27,955.089,880.512,880.512,878.101
24706089,8.002,4797,10.555,28,940.401,873.281,873.281,870.434
24706089,8.002,4797,10.555,29,957.723,852.893,852.893,848.789
24706112,16.336,0,0.000,29,265775.092,265649.286,265649.286,265649.286
24720349,9.973,0,0.000,32,6262.490,6217.193,6217.193,6204.447
24722822,8.069,7596,2.141,32,1356.300,1303.235,1303.235,1291.808
24773594,10.100,8181,1.551,32,2806.592,2676.649,2676.649,2673.041
24776909,9.908,8153,1.588,32,2908.784,2792.436,2792.436,2786.562
24909374,8.157,5163,6.892,30,1254.055,961.585,961.585,908.465
24910593,8.191,4233,32.227,30,1297.931,1010.979,1010.979,973.062
24921351,8.416,7102,1.627,30,1960.354,1671.955,1671.955,1629.330
24923308,11.269,3028,0.178,30,6435.491,5876.603,5876.603,5749.958
24978373,5.685,5303,2.010,30,353.940,298.847,298.847,292.010
24978613,8.866,6089,2.212,30,1846.740,1441.585,1441.585,1373.007
25051118,8.051,4049,64.591,33,1073.923,921.555,921.555,905.434
25078597,11.750,4039,60.269,29,5933.533,5791.904,5791.904,5788.161
