ticids,tmags,slow_2min,slow_30min,fast_2min,fast_30min
38906005,9.60459995,830.6777986259854,209.34847924946376,768.2816066868571,214.18686911974442
38952079,8.18159962,1077.230038856464,230.55727410799955,416.3579161428424,232.50599016348724
38954456,8.15839958,2214.0656282632713,2343.395091911051,2354.553571087601,2360.6487452942106
39015747,8.03450012,956.6933880771188,318.7505127280776,453.2982068536111,315.13299431531846
39070579,8.07820034,716.1061214006035,440.52434320750393,556.7495162375529,437.66287487966247
39080180,8.28289986,530.9268312920128,208.37640948511418,419.31168250879364,184.41618919213803
40898510,13.01220036,12968.82457608033,3491.98388846863,11936.271847805285,3371.609865647439
41035485,8.4083004,701.3925199674942,353.2589893624869,529.6317132252027,349.8414513525435
41227743,10.71399975,1535.6051177365687,413.2180198271391,1445.472657141101,394.19953251577016
41256025,11.13700008,3157.3709645859394,1276.2392306123916,3115.2864739818397,1315.343272951559
41259805,8.83920002,9650.001660633787,3904.22983853142,4424.509024144727,4460.198914862253
41464373,8.07460022,435.17795950358135,120.53665077934511,336.92712706000947,89.52808659111507
41488282,8.0163002,1021.026732481344,193.79536301987085,383.8057818191319,169.22308754806758
47316976,8.97173977,622.433944108737,164.10305021792072,576.4885401861799,161.37514775219256
47355413,15.79100037,67498.13844701168,18941.88398308334,67584.94912040756,18570.443281382042
47389790,8.0163002,1363.5487694466972,190.70241376966771,369.95549857839325,142.3294160557943
47424873,11.11219978,18639.04006649916,3862.1215437393685,4524.145380861472,3764.351028748831
48838982,8.01210022,1940.6930995346027,216.32970755706512,363.933952627901,124.01664609476941
48938394,12.42259979,4671.016142646066,1125.480047159633,4445.873901522935,1110.266724832381
48939546,16.08799934,138175.12176340356,86783.38398185685,137947.3401898911,92808.58724403367
50312495,9.8135004,911.31540407771,239.04079205141386,841.096036124086,227.42898028239836
50379749,8.13329983,2361.864417433693,1787.5479266602588,2380.249415181473,1715.5948478856212
50385872,15.01229954,31213.248503242863,8005.966579182953,31210.364209052852,7925.994460112503
50386332,8.53680038,490.8068610179492,131.53871311221056,435.40385407539554,123.66698190248023
50491108,8.42029953,461.64476808746247,124.51329981532058,409.7139708141774,106.44615914568443
52075621,8.98659992,662.6864693506664,185.0025501514362,559.11944704081,144.13164303694475
52120817,8.2191,717.5642260471277,352.46365955529177,503.97339344450234,362.9941310090964
52122434,8.15690041,1290.5551671419032,253.0474336559052,450.7734975695779,263.9777806734432
52204645,10.85449982,1635.5957484967075,418.6085885203503,1519.2168815231894,387.6124884698587
52315037,15.13389969,28694.748298781025,7588.860280298417,29082.962206088883,7576.688893010353
52368076,10.19849968,1107.8944214227636,303.506691423505,1028.5790472405863,288.91476961315414
53783180,8.07913971,447.770681450837,153.76376272438452,374.0452013866845,143.27798842069268
53939120,8.15466022,766.9630440718007,494.1649202038841,657.3760968796374,506.496004902599
53976522,8.0291996,1263.7790636330017,307.4833404594804,434.97771493905793,266.85617493004895
53992917,8.12660027,424.88285699933374,112.71590767526004,348.24742932379115,98.85839551087793
53994275,8.05189991,1470.6973684715915,159.11014642830708,354.077708118036,117.56695348960749
55269690,11.10879993,24522.669055182014,6412.6116804461635,6877.758463641335,6877.684705177122
55366779,8.28390026,859.486411642163,333.7292240969185,526.9950414639749,345.472064521997
55383975,11.25949955,1872.9575109551538,499.2903789613635,1957.819766789845,529.4000799466529
55401680,8.0,809.0271538745634,270.0586545320225,429.19297111149746,274.3444707566673
55402580,8.16740036,455.4588695870562,124.15981990101163,365.4635394377287,107.71367748963118
55452078,10.34130001,1211.4640363152803,324.8922262391952,1118.531200231878,294.1428922193325
55478693,8.01290035,569.809621865995,337.52913317573945,451.3901878642565,323.09971805728173
55523561,8.22029972,608.1180075792253,138.69668137696638,809.0943992929615,633.2564123913235
55525572,9.84669971,928.0615150180955,246.9499051340762,841.9505948428402,218.61656165974028
55557707,10.76729965,1525.2658302430325,396.1626139617332,1474.2948616838812,392.7831371387877
55604274,8.03969955,582.1814188668077,338.76631287582074,473.54718584280573,338.3162348681572
55650590,12.43120003,4416.068754450751,1217.2080849228,4200.454458190271,1203.8416760153423
55652896,11.57479954,2328.0187156386123,613.110911368839,2194.507261092807,608.0554780676589
60369861,8.22130013,555.6262403043493,256.14038290610836,425.7566309407781,218.67278130581275
61029108,13.87300014,17025.492627657473,4463.346692989569,17146.134706905737,4290.825866651293
61136774,8.07190037,8786.229305030629,7756.939979552312,8766.385202996238,7659.8706783661155
61213676,9.48880005,3118.576543990534,1813.0426654797902,3028.357163253421,1616.546973100185
61327770,9.46459961,1605.7266957376028,863.2863207209841,1544.7540191954306,788.2659483045082
61379646,13.06999969,8441.498018600843,2177.259532185854,8426.15155223145,2091.4242957781
