ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
19976193,7.832,3864,0.621,35,840.624,840.624,840.624,839.346
20061482,15.420,0,0.000,32,40726.069,40726.069,40726.069,40679.958
20061482,15.420,0,0.000,33,41979.466,41979.466,41979.466,41624.393
20072435,6.996,6248,1.312,33,767.040,767.040,767.040,766.401
20090407,8.174,4781,12.048,35,574.922,574.922,574.922,572.002
20096356,8.854,5458,0.955,33,3873.116,3873.116,3873.116,3873.178
20096356,8.854,5458,0.955,32,6893.963,6893.963,6893.963,6897.449
20143614,14.788,0,0.000,33,22132.246,22132.246,22132.246,22040.902
20143614,14.788,0,0.000,32,22181.308,22181.308,22181.308,22078.438
20179778,8.018,3698,56.911,33,481.600,481.600,481.600,480.444
20181050,8.027,5867,1.077,32,388.456,388.456,388.456,386.220
20299658,12.702,0,0.000,33,4593.972,4593.972,4593.972,4541.737
20299658,12.702,0,0.000,32,4558.908,4558.908,4558.908,4534.951
20318757,10.210,4272,0.680,36,1202.255,1202.255,1202.255,1201.131
20325431,8.344,3544,0.454,36,483.685,483.685,483.685,480.195
20448010,12.865,23430,0.285,36,6397.771,6397.771,6397.771,6397.771
20488899,8.084,6164,6.881,36,406.952,406.952,406.952,402.765
20498843,8.008,4664,10.865,36,586.450,586.450,586.450,584.133
20500188,8.043,3900,53.407,36,465.672,465.672,465.672,464.151
20501510,11.136,0,0.000,36,3811.011,3811.011,3811.011,3806.051
20881066,8.211,4703,10.737,29,631.289,631.289,631.289,628.623
20892891,11.514,3516,0.490,29,4169.837,4169.837,4169.837,4125.257
20897989,8.500,4777,9.743,29,737.110,737.110,737.110,734.290
20924617,8.035,6733,2.752,29,412.906,412.906,412.906,409.384
20925762,8.022,4981,10.959,30,500.543,500.543,500.543,495.245
21184505,8.800,6146,1.356,34,763.028,763.028,763.028,762.203
21221785,11.909,3511,0.410,34,3899.119,3899.119,3899.119,3899.119
21438038,8.057,4737,11.002,32,550.002,550.002,550.002,546.364
21540586,10.326,5417,1.183,33,2379.854,2379.854,2379.854,2379.854
21540586,10.326,5417,1.183,32,1706.844,1706.844,1706.844,1704.211
21618270,8.007,4746,11.582,33,577.437,577.437,577.437,575.900
21618270,8.007,4746,11.582,32,587.734,587.734,587.734,583.593
21619150,10.347,7713,1.542,33,3795.118,3795.118,3795.118,3794.309
21621578,8.761,3621,0.474,33,543.455,543.455,543.455,542.368
21813917,11.977,0,0.000,35,7134.010,7134.010,7134.010,7033.188
21891703,8.058,6574,1.695,35,429.358,429.358,429.358,427.900
21894942,16.904,0,0.000,35,206884.176,206884.176,206884.176,206464.201
22014729,15.757,0,0.000,35,98677.702,98677.702,98677.702,98660.506
22016715,16.490,0,0.000,35,123035.781,123035.781,123035.781,121976.018
22222900,8.194,7968,1.843,35,2610.647,2610.647,2610.647,2557.299
22233733,8.021,9452,1.926,35,378.681,378.681,378.681,376.892
22288945,8.351,4610,15.044,36,599.397,599.397,599.397,597.016
22529346,10.056,6776,1.523,33,4023.099,4023.099,4023.099,4023.099
22529346,10.056,6776,1.523,34,3996.817,3996.817,3996.817,3995.957
22600633,5.286,9517,4.397,33,135.598,135.598,135.598,134.773
22600633,5.286,9517,4.397,34,118.342,118.342,118.342,116.563
22641187,15.630,0,0.000,33,316445.172,316445.172,316445.172,315690.428
22641187,15.630,0,0.000,34,277187.228,277187.228,277187.228,276169.270
23026869,8.029,9364,2.342,34,624.062,624.062,624.062,622.983
23026869,8.029,9364,2.342,33,607.456,607.456,607.456,606.890
23031858,8.024,0,0.000,33,1183.168,1183.168,1183.168,1183.165
23031858,8.024,0,0.000,34,1179.418,1179.418,1179.418,1179.082
23126920,12.524,3216,0.331,31,8689.578,8689.578,8689.578,8648.204
23186105,8.315,4964,2.352,36,465.537,465.537,465.537,460.213
23188170,8.046,6474,3.322,36,449.495,449.495,449.495,446.717
23219822,8.174,3734,57.836,31,569.800,569.800,569.800,545.083
23226265,13.814,0,0.000,36,21936.471,21936.471,21936.471,21897.731
23226268,12.052,0,0.000,36,8159.745,8159.745,8159.745,8159.745
23270430,5.940,5847,1.142,36,168.135,168.135,168.135,163.559
23325655,9.191,0,0.000,36,1940.249,1940.249,1940.249,1939.472
23328912,8.758,8690,2.051,36,1077.614,1077.614,1077.614,1074.729
23369524,9.030,3532,0.371,33,2221.592,2221.592,2221.592,2203.597
23434737,7.999,5742,1.173,36,395.498,395.498,395.498,387.912
23498749,8.036,4473,15.050,36,536.921,536.921,536.921,533.784
23582373,6.355,6199,1.364,36,195.724,195.724,195.724,192.638
23612266,8.217,9160,2.169,36,423.567,423.567,423.567,419.920
23733602,8.207,4230,30.387,33,450.694,450.694,450.694,448.623
24225890,9.712,7492,2.169,30,1528.732,1528.732,1528.732,1523.389
24250134,8.333,6319,2.117,30,476.172,476.172,476.172,472.148
24252344,14.137,0,0.000,30,29617.982,29617.982,29617.982,29617.982
24358417,11.702,5523,1.117,32,2647.989,2647.989,2647.989,2647.989
24360361,8.102,5623,2.186,32,397.523,397.523,397.523,396.597
24398462,8.088,4811,10.733,32,657.470,657.470,657.470,656.785
24405903,8.025,5061,10.295,32,491.398,491.398,491.398,490.017
24435416,12.213,3156,0.518,35,5628.923,5628.923,5628.923,5600.994
24436680,8.108,4900,18.110,35,513.839,513.839,513.839,509.270
