ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
13205578,8.143,4585,8.817,32,499.253,487.376,487.376,486.462
13273388,8.077,4509,12.976,32,522.480,510.848,510.848,509.945
13344668,12.673,4469,0.700,32,5399.245,5466.784,5466.784,5466.784
13349647,12.212,5928,0.960,34,4368.700,4379.509,4379.509,4377.857
13390495,8.014,4813,10.625,34,571.574,513.555,513.555,505.731
13741812,8.051,4019,45.402,34,432.594,382.076,382.076,363.594
13818381,8.001,8233,1.872,34,404.933,355.392,355.392,342.830
13934072,8.132,4972,9.485,31,463.149,423.954,423.954,422.120
13934072,8.132,4972,9.485,32,432.089,411.419,411.419,409.924
13955147,8.738,5701,1.006,31,974.300,939.786,939.786,936.430
13955147,8.738,5701,1.006,32,862.024,838.905,838.905,837.764
14001734,11.739,3304,0.439,32,12088.625,12093.754,12093.754,12091.066
14161523,8.339,4593,17.024,32,530.527,505.212,505.212,504.633
14164720,8.074,4828,10.450,31,623.427,598.094,598.094,595.015
14164720,8.074,4828,10.450,32,585.358,558.238,558.238,556.038
14164726,14.935,31000,0.180,32,26219.195,26629.342,26629.342,26629.342
14342679,8.316,4754,6.029,35,598.296,529.052,529.052,482.840
14344979,12.335,5425,0.916,35,4774.051,4774.742,4774.742,4765.117
14564874,8.014,4131,28.953,33,442.819,408.356,408.356,393.588
14609933,8.257,9036,1.942,33,425.870,391.852,391.852,379.669
14614418,13.390,5670,1.017,36,9004.747,9057.789,9057.789,9057.789
14661418,12.481,4724,0.793,36,4549.090,4549.175,4549.175,4549.175
14680532,12.805,31000,0.180,36,5506.700,5557.406,5557.406,5555.935
14715718,14.339,2841,0.140,36,18806.113,19064.998,19064.998,19064.998
14717912,14.307,41381,0.147,36,17350.309,17604.792,17604.792,17596.111
16325702,8.459,5718,1.130,34,569.391,481.810,481.810,445.802
16489072,8.155,4006,38.490,34,559.967,487.188,487.188,457.791
17676722,8.611,8321,1.842,34,2535.770,2515.167,2515.167,2504.649
17684976,8.011,9745,3.508,35,467.931,371.990,371.990,350.843
17746821,11.316,6322,1.730,34,2434.412,2324.018,2324.018,2307.829
17817705,8.179,4869,10.920,34,548.928,489.896,489.896,465.565
17863112,8.296,4616,17.690,34,628.295,581.028,581.028,545.353
17897279,15.653,0,0.000,35,92497.081,93238.905,93238.905,93238.905
18786687,8.038,4242,42.969,35,531.962,428.672,428.672,409.568
18930259,8.169,4948,10.891,35,631.429,515.799,515.799,494.774
18934976,10.968,3351,0.344,34,1886.106,1841.475,1841.475,1831.564
18998800,10.483,3482,0.425,34,1617.163,1445.063,1445.063,1408.985
19064309,8.092,4679,12.008,34,589.262,542.201,542.201,520.909
19117868,8.170,4139,41.259,34,522.909,450.927,450.927,409.196
19341385,8.030,4316,33.783,34,514.636,457.518,457.518,449.922
19436296,8.103,4427,32.305,35,559.700,439.648,439.648,419.088
19513176,8.165,0,0.000,34,802.937,790.429,790.429,568.131
19684256,13.176,5790,1.022,35,7773.288,7765.864,7765.864,7762.188
19911846,8.089,5033,10.084,35,632.503,540.697,540.697,524.122
19946620,8.033,4207,24.057,34,449.058,396.622,396.622,387.945
19976193,7.832,3864,0.621,35,854.324,825.910,825.910,806.724
20061482,15.420,0,0.000,32,41539.785,42003.062,42003.062,42003.062
20061482,15.420,0,0.000,33,42012.401,42538.442,42538.442,42532.180
20090407,8.174,4781,12.048,35,614.935,559.360,559.360,522.802
20096356,8.854,5458,0.955,32,6960.695,6958.554,6958.554,6958.568
20096356,8.854,5458,0.955,33,3866.134,3859.776,3859.776,3858.227
20143614,14.788,0,0.000,32,22368.897,22676.326,22676.326,22676.326
20143614,14.788,0,0.000,33,22266.569,22585.843,22585.843,22585.843
20179778,8.018,3698,56.911,33,416.291,394.295,394.295,393.681
20299658,12.702,0,0.000,32,4461.975,4507.746,4507.746,4507.746
20299658,12.702,0,0.000,33,4426.223,4473.992,4473.992,4473.854
20318757,10.210,4272,0.680,36,1182.628,1146.155,1146.155,1143.985
20325431,8.344,3544,0.454,36,543.539,448.540,448.540,436.579
20448010,12.865,23430,0.285,36,6542.234,6588.916,6588.916,6588.916
20488899,8.084,6164,6.881,36,401.323,375.801,375.801,370.470
20498843,8.008,4664,10.865,36,587.364,543.186,543.186,533.903
20500188,8.043,3900,53.407,36,516.222,445.355,445.355,432.243
20501510,11.136,0,0.000,36,3939.491,3789.946,3789.946,3763.449
20881066,8.211,4703,10.737,29,620.500,524.387,524.387,513.654
20892891,11.514,3516,0.490,29,3855.238,3781.574,3781.574,3554.198
20897989,8.500,4777,9.743,29,758.187,649.269,649.269,634.453
20924617,8.035,6733,2.752,29,435.117,379.602,379.602,367.849
20925762,8.022,4981,10.959,30,569.361,481.713,481.713,458.375
21184505,8.800,6146,1.356,34,802.688,716.571,716.571,692.455
21221785,11.909,3511,0.410,34,3834.466,3766.517,3766.517,3736.764
21438038,8.057,4737,11.002,32,525.052,500.336,500.336,491.725
21540586,10.326,5417,1.183,32,1785.203,1772.461,1772.461,1772.279
21540586,10.326,5417,1.183,33,2423.181,2407.654,2407.654,2406.970
21618270,8.007,4746,11.582,32,566.608,548.224,548.224,547.745
21618270,8.007,4746,11.582,33,563.958,542.994,542.994,539.652
21813917,11.977,0,0.000,35,7043.663,6929.994,6929.994,6900.163
21891703,8.058,6574,1.695,35,507.942,390.352,390.352,367.645
21894942,16.904,0,0.000,35,208865.851,211387.798,211387.798,211387.798
22014729,15.757,0,0.000,35,99572.442,100224.376,100224.376,100224.376
22016715,16.490,0,0.000,35,122331.135,123891.167,123891.167,123891.167
22222900,8.194,7968,1.843,35,2572.033,2557.909,2557.909,2552.229
22233733,8.021,9452,1.926,35,467.853,387.640,387.640,355.784
22288945,8.351,4610,15.044,36,593.281,546.089,546.089,541.537
22529346,10.056,6776,1.523,33,4053.285,4044.857,4044.857,4045.436
